timestamp,equity,cash,deployed_pct,positions,unrealized_pnl,phase_pnl,phase_pct,open_orders
2026-04-28 14:19 UTC,101123.16,80028.73,20.9,NVDA:99@201.73>213.075(+5.6%),1123.15,1123.16,1.12,1
2026-04-28 23:34 UTC,101040.54,66396.86,34.3,AMZN:9@260.52>259.5(-0.4%); GOOGL:20@351.4945>349.78(-0.5%); MSFT:10@425.73>428.3(+0.6%); NVDA:99@201.73>212.42(+5.3%),1040.54,1040.54,1.04,4
2026-04-29 20:26 UTC,100840.43,66396.86,34.2,AMZN:9@260.52>260(-0.2%); GOOGL:20@351.4945>363.56(+3.4%); MSFT:10@425.73>416.81(-2.1%); NVDA:99@201.73>208.73(+3.5%),840.43,840.43,0.84,4
2026-04-30 20:25 UTC,100560.59,86399.81,14.1,AMZN:9@260.52>264.7093(+1.6%); GOOGL:20@351.4945>384(+9.2%); MSFT:10@425.73>409.84(-3.7%),528.91,560.59,0.56,3
2026-05-03 20:13 UTC,100672.33,86399.79,14.2,AMZN:9@260.52>268.26(+3.0%); GOOGL:20@351.4945>385.69(+9.7%); MSFT:10@425.73>414.44(-2.7%),640.67,672.33,0.67,3
2026-05-04 20:30 UTC,100623.54,86399.79,14.1,AMZN:9@260.52>271.75(+4.3%); GOOGL:20@351.4945>382.58(+8.8%); MSFT:10@425.73>412.6399(-3.1%),591.88,623.54,0.62,3
2026-05-05 05:58 UTC,100679.18,86399.79,14.2,AMZN:9@260.52>273.31(+4.9%); GOOGL:20@351.4945>383.73(+9.2%); MSFT:10@425.73>414.5(-2.6%),647.52,679.18,0.68,3
2026-05-05 06:23 UTC,100678.78,86399.79,14.2,AMZN:9@260.52>273.21(+4.9%); GOOGL:20@351.4945>383.73(+9.2%); MSFT:10@425.73>414.55(-2.6%),647.12,678.78,0.68,2
2026-05-05 06:29 UTC,100672.29,86399.79,14.2,AMZN:9@260.52>273(+4.8%); GOOGL:20@351.4945>383.63(+9.1%); MSFT:10@425.73>414.29(-2.7%),640.63,672.29,0.67,3
2026-05-05 06:59 UTC,100692.30,86399.79,14.2,AMZN:9@260.52>273.39(+4.9%); GOOGL:20@351.4945>384.05(+9.3%); MSFT:10@425.73>415.1(-2.5%),660.64,692.30,0.69,3
2026-05-05 08:32 UTC,100724.73,86399.79,14.2,AMZN:9@260.52>274.06(+5.2%); GOOGL:20@351.4945>384.69(+9.4%); MSFT:10@425.73>416.46(-2.2%),693.07,724.73,0.72,3
2026-05-05 17:29 UTC,100657.42,86399.79,14.2,AMZN:9@260.52>273.625(+5.0%); GOOGL:20@351.4945>384.775(+9.5%); MSFT:10@425.73>409.9501(-3.7%),625.76,657.42,0.66,3
2026-05-05 20:25 UTC,100881.90,86399.79,14.4,AMZN:9@260.52>272.4(+4.6%); GOOGL:20@351.4945>396.36(+12.8%); MSFT:10@425.73>410.3307(-3.6%),850.24,881.90,0.88,3
